course_code,department,total_labs,lab_1,lab_2,lab_3,lab_4,lab_5,course_name
PH23131,Aeronautical Engineering,2,Physics LAB - 1,Physics LAB - 2,,,,Physics of Materials
AE23331,Aeronautical Engineering,1,Strength of Materials Lab,,,,,Solid Mechanics
IT23231,Artificial Intelligence and Data Science,2,Digital Lab-1,Digital Lab-2,,,,
PH23132,Artificial Intelligence and Data Science,2,Physics LAB - 1,Physics LAB - 2,,,,Physics for Information Science
AT23332,Automobile Engineering,2,Thermal Lab 2,Thermal Lab 1,,,,Applied Thermodynamics
AT23431,Automobile Engineering,1,Automotive Components Lab,,,,,Automotive Drive Line and Chassis
AT23531,Automobile Engineering,3,Technical Analysis Lab,Electrical Machines I Lab,Electrical Machines II Lab,,,Automotive Electrical and Electronics
AT23331,Automobile Engineering,2,Thermal Lab 1,Thermal Lab 2,,,,Automotive Engines
AT23633,Automobile Engineering,1,Vehicle Maintenance Lab,,,,,Automotive Fuels and Lubricants
AT23631,Automobile Engineering,1,Auto CAD Lab,,,,,Automotive System Design
AT19723,Automobile Engineering,1,Vehicle Maintenance Lab,,,,,Comprehension
AT23723,Automobile Engineering,1,Auto CAD Lab,,,,,Computer Aided Analysis laboratory
AT23432,Automobile Engineering,1,Fluid Mechanics Lab,,,,,Fluid Mechanics and Machinery for Automobile Engineers
AT23334,Automobile Engineering,2,Manufacturing Technology II,Manufacturing Technology I,,,,Production Technology - II
GE23231,Automobile Engineering,1,Auto CAD Lab,,,,,Programming Using Python
AT19713,Automobile Engineering,1,Vehicle Maintenance Lab,,,,,Project Phase I
AT23333,Automobile Engineering,1,Strength of Materials Lab,,,,,Strength of Materials for Automobile Engineers
AT23433,Automobile Engineering,1,Fluid Mechanics Lab,,,,,Theory of Machines
AT23521,Automobile Engineering,1,Automotive Components Lab,,,,,Two and Three wheelers Laboratory
AT23632,Automobile Engineering,1,Auto CAD Lab,,,,,Vehicle Dynamics
AT23722,Automobile Engineering,1,Automotive Components Lab,,,,,Vehicle Maintenance Laboratory
AT19721,Automobile Engineering,1,Vehicle Maintenance Lab,,,,,Vehicle Maintenance Laboratory
BM23421,Biomedical Engineering,1,Electronics and Instrumentation,,,,,Analog and Digital Integrated Circuits Laboratory
BM23721,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,,,,,Artificial Intelligence and Machine learning for Biomedical Engineering
BM23321,Biomedical Engineering,1,Immunology Lab,Biochemistry Lab,,,,Biochemistry and Physiology Laboratory
MX23121,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,,,,,Biomedical Instrumentation Lab
BM23322,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,,,,,Biomedical Instrumentation Laboratory
MX23131,Biomedical Engineering,1,Medical Image Processing Lab,,,,,Biosignal Acquisition and Processing
BM23631,Biomedical Engineering,1,Medical Image Processing Lab,,,,,Biosignal Processing
CY23131,Biomedical Engineering,1,Chemistry Lab,,,,,Chemistry For Electronics Engineering
BM23521,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,,,,,Diagnostic and Therapeutic Equipment Laboratory
BM19741,Biomedical Engineering,1,Medical Image Processing Lab,,,,,Digital Image Processing Techniques
BM23231,Biomedical Engineering,1,Engineering Practices Lab (Electronics),,,,,Electric Circuits and Machines
BM23331,Biomedical Engineering,1,Electronics and Instrumentation,,,,,Electronic Devices & Circuits
BM19712,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,,,,,Hospital Training
BM23731,Biomedical Engineering,1,Medical Image Processing Lab,,,,,Medical Image Processing
BM23532,Biomedical Engineering,2,Microprocessor Lab-1,Microprocessor Lab-2,,,,Microcontroller and Embedded System Design
BM23422,Biomedical Engineering,1,Medical Image Processing Lab,,,,,PCB Design Laboratory
BM23431,Biomedical Engineering,2,Immunology Lab,Food Microbiology Lab,,,,Pathology and Microbiology
PH23231,Biomedical Engineering,2,Physics LAB - 1,Physics LAB - 2,,,,Physics for Bioscience
BM23632,Biomedical Engineering,1,Medical Image Processing Lab,,,,,Physiological Modeling Laboratory
BM23332,Biomedical Engineering,1,Power Electronics Lab,,,,,Sensors and Measurements
BM23531,Biomedical Engineering,1,Medical Image Processing Lab,,,,,Signals and Systems Analysis
MX23322,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,,,,,Training in Healthcare Sector
BT23331,Biotechnology,2,Technical Analysis Lab,Biochemistry Lab,,,,Analytical Techniques in Biotechnology
BT23723,Biotechnology,1,Computer Application in Chemical Engg Lab,,,,,Artificial Intelligence and Machine Learning for Biotechnologist
BT23321,Biotechnology,1,Basic Food and Enzyme Technology Laboratory,,,,,Basic Food and Enzyme Technology Laboratory
BT23221,Biotechnology,1,Biochemistry Lab,,,,,Biochemistry Laboratory
BT23621,Biotechnology,1,Bioprocess Lab,,,,,Bioprocess Laboratory II
BT23521,Biotechnology,1,Bioprocess Lab,,,,,Bioprocess Laboratory- I
BT23421,Biotechnology,1,Fluid Mechanics Lab,,,,,Chemical Engineering Laboratory for Biotechnologists
CY23132,Biotechnology,1,Chemistry Lab,,,,,Chemistry for Technologists
BT23721,Biotechnology,1,Downstream Processing Lab,,,,,
BT19711,Biotechnology,1,Downstream Processing Lab,,,,,Downstream processing lab
BT23722,Biotechnology,1,Immunology Lab,,,,,
BT23523,Biotechnology,1,Immunology Lab,,,,,Immunology lab
BT23131,Biotechnology,1,Microbiology Lab,,,,,Microbiology
CR23P62,Biotechnology,1,Food Microbiology Lab,,,,,
BT23422,Biotechnology,2,Immunology Lab,Genetic Engineering Lab,,,,Molecular Biology and Genetic Engineering Laboratory
BY23122,Biotechnology,1,Immunology Lab,,,,,Recombinant DNA Technology Laboratory
CH23723,Chemical Engineering,1,Computer Application in Chemical Engg Lab,,,,,Artificial Intelligence and Machine Learning for Chemical Engineers
CH19711,Chemical Engineering,2,Chemical Reaction Engineering Lab,Chemical Reaction Engineering Lab,,,,Chemical Reaction Engineering  lab
CH23721,Chemical Engineering,1,Chemical Reaction Engineering Lab,,,,,Chemical Reaction Engineering lab
CY23312,Chemical Engineering,1,Chemistry Lab,,,,,Chemistry for Technologists
CH23331,Chemical Engineering,1,Fluid Mechanics Lab,,,,,Fluid Mechanics for Chemical Engineers
CH23521,Chemical Engineering,1,Heat Transfer Lab,,,,,Heat Transfer Lab
CH23621,Chemical Engineering,2,Thermal Lab 1,Thermal Lab 2,,,,Mass Transfer Lab
PH23233,Chemical Engineering,2,Physics LAB - 1,Physics LAB - 2,,,,Material Science
CH23431,Chemical Engineering,1,Particle Science and Technology Lab,,,,,Particle science and Technology
CY23334,Chemical Engineering,1,Chemistry Lab,,,,,Physical and Organic Chemistry
CH23722,Chemical Engineering,1,Process Control Lab,,,,,Process Control Lab
CS23411,Chemical Engineering,1,Computer Application in Chemical Engg Lab,,,,,Python Programming for Machine Learning
CH23421,Chemical Engineering,1,Technical Analysis Lab,,,,,Technical Analysis Lab
CE23721,Civil Engineering,1,MCT CAD Lab,,,,,Building Information Modelling
CE19711,Civil Engineering,1,Computer Lab (Arch),,,,,COMPUTER AIDED DESIGN AND DRAFTING LABORATORY
CE19712,Civil Engineering,1,Computer Lab (Arch),,,,,CREATIVE AND INNOVATIVE PROJECT
CE23321,Civil Engineering,1,Concrete & Survey Lab,,,,,Construction Materials Laboratory
CE19714,Civil Engineering,1,Computer Lab (Arch),,,,,PROBLEM SOLVING USING MACHINE LEARNING IN CIVIL ENGINEERING
CE23431,Civil Engineering,1,Soil Mechanics & Highway Lab,,,,,Soil Mechanics
CE23421,Civil Engineering,1,Strength of Materials Lab,,,,,Strength of Materials and Hydraulic Engineering Laboratory
CE23531,Civil Engineering,1,Computer Lab (Arch),,,,,Structural Analysis
CE23331,Civil Engineering,2,Soil Mechanics & Highway Lab,Concrete & Survey Lab,,,,Surveying
CE23521,Civil Engineering,1,Chemistry Lab,,,,,Water and Waste Water Analysis Laboratory
PH23133,Computer Science and Business Systems,2,Physics LAB - 1,Physics LAB - 2,,,,Physics for Computing Science
EE23131,Computer Science and Business Systems,2,Electrical Machines II Lab,Electrical Machines I Lab,,,,Principles of Electrical Engineering
EC23242,Computer Science and Business Systems,1,Engineering Practices Lab (Electronics),,,,,Principles of Electronics
EC23232,Computer Science and Engineering,2,Microprocessor Lab-1,Microprocessor Lab-2,,,,Digital Logic and Microprocessor
GE23627,Electrical & Electronics Engineering,1,Electronic Devices & Circuits Lab,,,,,Problem Solving Techniques
ET23121,Electrical & Electronics Engineering,1,Embedded System Laboratory(EEE),,,,,Embedded System Laboratory I
EE23821,Electrical & Electronics Engineering,1,Power System Simulation Lab,,,,,Project Work (Phase - II)
ET23322,Electrical & Electronics Engineering,1,Embedded System Laboratory(EEE),,,,,IOT for Embedded Applications Laboratory
EE19742,Electrical & Electronics Engineering,1,Power System Simulation Lab,,,,,Power System Operation and Control
EE19711,Electrical & Electronics Engineering,1,Power System Simulation Lab,,,,,Project Work / Phase -I
EE19741,Electrical & Electronics Engineering,1,Power System Simulation Lab,,,,,Renewable Energy Systems
EE23631,Electrical and Electronics Engineering,1,Power System Simulation Lab,,,,,Applications of IoT in Electrical Engineering
EE23521,Electrical and Electronics Engineering,1,Power System Simulation Lab,,,,,Control and Instrumentation Laboratory
EE23431,Electrical and Electronics Engineering,1,Power Electronics Lab,,,,,Digital Logic Circuits
EE23221,Electrical and Electronics Engineering,2,Power Electronics Lab,Electronic Devices & Circuits Lab,,,,Electric Circuits Laboratory
EE23321,Electrical and Electronics Engineering,1,Electronic Devices & Circuits Lab,,,,,Electronic Devices and Circuits Laboratory
EE23432,Electrical and Electronics Engineering,1,Electronic Devices & Circuits Lab,,,,,Linear Integrated Circuits and Applications
EE23531,Electrical and Electronics Engineering,2,Electronic Devices & Circuits Lab,Microprocessor and Microcontrollers Lab,,,,"Microprocessors, Microcontrollers and Applications"
PH23232,Electrical and Electronics Engineering,2,Physics LAB - 1,Physics LAB - 2,,,,Physics for Electronics Engineering
EE23621,Electrical and Electronics Engineering,1,Power Electronics Lab,,,,,Power Electronics and Drives Laboratory
EE23731,Electrical and Electronics Engineering,1,Power System Simulation Lab,,,,,Renewable Energy Systems
EC19712,Electronics & Communication Engineering,1,Optical and Microwave Lab,,,,,Advanced Communication Systems Laboratory
EC23521,Electronics & Communication Engineering,1,Communication Systems Lab,,,,,Communication Systems Laboratory
EC23131,Electronics & Communication Engineering,1,Engineering Practices Lab (Electronics),,,,,Electron Devices
EC19711,Electronics & Communication Engineering,1,Embedded System Laboratory (ECE),,,,,Embedded Laboratory
EC23332,Electronics & Communication Engineering,2,Microprocessor Lab-1,Microprocessor Lab-2,,,,Principles of Microprocessor and Microcontrollers
EC23431,Electronics and Communication Engineering,1,LIC Lab,,,,,Analog Circuits-II
EC23321,Electronics and Communication Engineering,3,Basic Electronics Lab-1,Digital Lab-1,Digital Lab-2,,,Analog and Digital Circuits Laboratory
EC23721,Electronics and Communication Engineering,1,DSP Lab,,,,,Artificial Intelligence and Machine Learning for Electronic Engineering
EE23132,Electronics and Communication Engineering,2,Electrical Machines II Lab,Electrical Machines I Lab,,,,Basic Electrical Engineering
EC23531,Electronics and Communication Engineering,1,DSP Lab,,,,,Digital Signal Processing
EC23733,Electronics and Communication Engineering,1,Embedded System Laboratory (ECE),,,,,Embedded and Real Time Systems
EC23331,Electronics and Communication Engineering,3,Microprocessor Lab-2,Microprocessor Lab-1,Microprocessor and Microcontrollers Lab,,,Microprocessors and Microcontrollers
EC23732,Electronics and Communication Engineering,1,Optical and Microwave Lab,,,,,RF and Microwave Engineering
EC23631,Electronics and Communication Engineering,1,VLSI Lab,,,,,VLSI and Chip Design
EC23633,Electronics and Communication Engineering,1,Embedded System Laboratory (ECE),,,,,Wireless Communication
FT23312,Food Technology,1,Food Chemistry Lab,,,,,Biochemistry and Nutrition Laboratory
FT23511,Food Technology,1,Biochemistry Lab,,,,,Food Analysis Laboratory
FT23211,Food Technology,1,Food Chemistry Lab,,,,,Food Chemistry Laboratory
FT23311,Food Technology,1,Food Microbiology Lab,,,,,Food Microbiology Laboratory
FT19711,Food Technology,1,Baking Lab,,,,,Food Packaging Technology Laboratory
FT23412,Food Technology,1,Food Processing and Preservation Lab,,,,,Food Processing and Preservation Laboratory - I
FT23512,Food Technology,1,Food Processing and Preservation Lab,,,,,Food Processing and Preservation Laboratory - II
FT19712,Food Technology,1,Livestock Lab,,,,,Livestock and Marine Technology Laboratory
CR19P62,Food Technology,1,MEMS Lab,,,,,Microfluidics Laboratory
FT23411,Food Technology,1,Particle Science and Technology Lab,,,,,Unit Operations in Food Industries Laboratory
ME23731,Mechanical Engineering,1,Mech CAD Lab,,,,,"Artificial Intelligence for
 Mechanical Engineers"
ME23421,Mechanical Engineering,1,Mech CAD Lab,,,,,Computer Aided Machine Drawing Laboratory
ME23431,Mechanical Engineering,1,Dynamics Lab,,,,,Dynamics of Machines
ME23432,Mechanical Engineering,1,Fluid Mechanics Lab,,,,,Fluid Mechanics and Machinery
ME23531,Mechanical Engineering,2,Thermal Lab 1,Thermal Lab 2,,,,Heat and Mass Transfer
ME23422,Mechanical Engineering,1,Manufacturing Technology I,,,,,"Manufacturing Technology
 Laboratory II"
ME23321,Mechanical Engineering,3,Machine Shop FF2 - EPL - 2,Machine Shop FF2 - EPL - 2,Manufacturing Technology I,,,Manufacturing Technology Laboratory I
ED23121,Mechanical Engineering,1,Mech CAD Lab,,,,,Mechanism Design Laboratory
ME23732,Mechanical Engineering,1,Mechatronics Lab,,,,,Mechatronics
ME19741,Mechanical Engineering,1,Mechatronics Lab,,,,,Mechatronics
ME23532,Mechanical Engineering,1,Metrology & Measurement Lab,,,,,Metrology and Measurements
ME23631,Mechanical Engineering,3,Diagnostic and Therapeutic Equipment Lab,Isaac Asimov Laboratory,,,,Robotics Laboratory
ME23622,Mechanical Engineering,1,Mech CAD Lab,,,,,"Simulation and Analysis
 Laboratory"
ME23331,Mechanical Engineering,1,Strength of Materials Lab,,,,,Strength of Materials
ME23433,Mechanical Engineering,2,Thermal Lab 1,Thermal Lab 2,,,,Thermal Engineering
ED23131,Mechanical Engineering,1,Dynamics Lab,,,,,Vibration Analysis and Control
MT23311,Mechatronics Engineering,1,Microprocessor and Microcontrollers Lab,,,,,
MT23331,Mechatronics Engineering,1,Industrial Automation Lab,,,,,Analog Devices and Drives
MT23632,Mechatronics Engineering,1,Mechatronics Lab,,,,,Applied Hydraulics and Pneumatics
MT23121,Mechatronics Engineering,1,MCT CAD Lab,,,,,Computer Aided Drawing Lab
MT23721,Mechatronics Engineering,1,MCT CAD Lab,,,,,Computer Aided Engineering Laboratory
MT19711,Mechatronics Engineering,1,MCT CAD Lab,,,,,Computer Aided Engineering Laboratory
MT23332,Mechatronics Engineering,1,MCT CAD Lab,,,,,Digital System Design
MT23131,Mechatronics Engineering,1,MCT CAD Lab,,,,,Elements of Mechatronics
MT23421,Mechatronics Engineering,1,Fluid Mechanics Lab,,,,,Fluid mechanics and Heat Transfer Laboratory
MT23731,Mechatronics Engineering,1,Industrial Automation Lab,,,,,
MT23531,Mechatronics Engineering,1,Power Electronics Lab,,,,,
MT23512,Mechatronics Engineering,1,Power Electronics Lab,,,,,Industrial Electronics
MT23522,Mechatronics Engineering,1,Power Electronics Lab,,,,,Industrial Electronics Laboratory
MT23631,Mechatronics Engineering,1,Isaac Asimov Laboratory,,,,,Industrial Robotics
MT23732,Mechatronics Engineering,1,MCT CAD Lab,,,,,
MT23431,Mechatronics Engineering,1,Manufacturing Technology I,,,,,Microcontrollers and Embedded System
MT23313,Mechatronics Engineering,1,Strength of Materials Lab,,,,,
MT23432,Mechatronics Engineering,2,Microprocessor Lab-1,Microprocessor Lab-2,,,,Sensors and Instrumentation
PH23141,Mechatronics Engineering,2,Physics LAB - 1,Physics LAB - 2,,,,Physics of Materials
MT19721,Mechatronics Engineering,1,Microprocessor and Microcontrollers Lab,,,,,Project Work Phase - I
MT23433,Mechatronics Engineering,1,Industrial Automation Lab,,,,,System Dynamics and Control
MT23434,Mechatronics Engineering,1,MCT CAD Lab,,,,,
MT23521,Mechatronics Engineering,1,Dynamics Lab,,,,,
RO19712,Robotics & Automation,1,Isaac Asimov Laboratory,,,,,"Robotics and Automation Problem Solving using AI, ML and DL"
RO23221,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,Computer Aided Modeling Laboratory
RO23331,Robotics and Automation,1,Manufacturing Technology I,,,,,Elements of Manufacturing Process
RO23422,Robotics and Automation,1,Industrial Automation Lab,,,,,"Industrial Automation 
 Laboratory-I"
RO23522,Robotics and Automation,1,Industrial Automation Lab,,,,,"Industrial Automation 
 Laboratory-II"
RO23332,Robotics and Automation,2,Strength of Materials Lab,,,,,Mechanics of Materials
RO23421,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,Mechanisms and  Robotics laboratory
RO23521,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,Mobile Robotics laboratory
RO23731,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,"Robot Path Planning and 
 Programming"
RO23632,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,Robotic Vision and Intelligence
RO23631,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,Robotic operating System
RO23721,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,"Robotics & Automation Problem Solving using AI, ML and DL"
GE23521,Aeronautical Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Artificial Intelligence and Data Science,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Automobile Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Biomedical Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Biotechnology,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Chemical Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Civil Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Computer Science & Business Systems,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Computer Science & Design,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Computer Science & Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Computer Science & Engineering (Cyber Security),3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Electrical & Electronics Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Electronics & Communication Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Food Technology,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Information Technology,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Mechanical Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Mechatronics Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Robotics and Automation,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
EE23B21,Electrical & Electronics Engineering,1,TANCAM,,,,,Wiring Harness Design Engineering
AT19722,Automobile Engineering,1,TANCAM,,,,,Computer Aided Analysis Laboratory
ME23521,Mechanical Engineering,1,TANCAM,,,,,Component Modeling Laboratory
ME23VAP1,Mechanical Engineering,1,Mech CAD Lab,,,,,Windchill Training
ME23VAP2,Mechanical Engineering,1,Mech CAD Lab,,,,,Thors E-Learning
BM19713,Biomedical Engineering,1,Electronics and Instrumentation,,,,,AI-ML-DL in Healthcare
EE23421,Electrical and Electronics Engineering,1,Electrical Machines I Lab,,,,,Electrical Machines Laboratory
EE23622,Electrical and Electronics Engineering,1,Power System Simulation Lab,,,,,Applications of AI and ML in Electrical Engineering
EC23632,Electronics and Communication Engineering,1,Networks Lab,,,,,Communication Networks
MT23722,Mechatronics Engineering,1,Industrial Automation Lab,,,,,Industrial Automation Laboratory
CD19741,Computer Science & Design,1,Mech CAD Lab,,,,,3D Printing and Design
AT23522,Automobile Engineering,1,TANCAM,,,,,Computer Aided Vehicle Design Data Characteristics Laboratory
IT23231,Artificial Intelligence and Data Science,2,Digital Lab-1,Digital Lab-2,,,,
IT23331,Information Technology,1,Digital Lab-2,Digital Lab-1,,,,Digital Logic and Computer Architecture
