id,student_count,academic_year,semester,requires_special_scheduling,is_assistant,teacher_id,staff_code,first_name,last_name,teacher_email,course_id,course_code,course_name,course_type,lecture_hours,practical_hours,tutorial_hours,credits,teacher_dept,course_dept,instance_number,assignment_description
216,70,2,3,0,0,220,CS282,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23331
217,70,2,3,0,0,220,CS282,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23331
253,70,3,5,0,0,222,CS255,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23511
254,70,3,5,0,0,222,CS255,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23511
277,70,3,5,0,0,223,CS272,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23511
278,70,3,5,0,0,223,CS272,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23511
281,70,3,5,0,0,234,IT210,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23511
282,70,3,5,0,0,234,IT210,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23511
295,70,3,5,0,0,268,CS334,,,,1555,CS23531,Web Programming,LoT,1,4,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23531
296,70,3,5,0,0,268,CS334,,,,1555,CS23531,Web Programming,LoT,1,4,0,3.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23531
753,64,4,7,0,0,298,EE43,,,,2023,EE19741,Renewable Energy Systems,LoT,3,2,0,4.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,1,Instance 1 of EE19741
755,32,4,7,0,0,298,EE43,,,,2023,EE19741,Renewable Energy Systems,LoT,3,2,0,4.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,2,Instance 2 of EE19741
627,34,3,5,0,0,303,EE48,,,,1609,EE23521,Control and Instrumentation Laboratory,L,0,2,0,1.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,1,Instance 1 of EE23521
628,34,3,5,0,0,303,EE48,,,,1609,EE23521,Control and Instrumentation Laboratory,L,0,2,0,1.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,2,Instance 2 of EE23521
304,70,2,3,0,0,1753,New Staff-1,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23311
305,70,2,3,0,0,1753,New Staff-1,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23311
306,70,2,3,0,0,1754,New Staff-2,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23311
307,70,2,3,0,0,1754,New Staff-2,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23311
308,70,2,3,0,0,1755,New Staff-3,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23331
310,70,2,3,0,0,1755,New Staff-3,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23331
311,70,2,3,0,0,1756,New Staff-4,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23331
312,70,2,3,0,0,1756,New Staff-4,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23331
313,70,2,3,0,0,1757,New Staff-5,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23331
315,70,2,3,0,0,1757,New Staff-5,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23331
316,70,2,3,0,0,1758,New Staff-6,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23331
318,70,2,3,0,0,1758,New Staff-6,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23331
344,70,2,3,0,0,1763,New Staff-11,,,,1546,CS23334,Fundamentals of Data Science,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23334
345,70,2,3,0,0,1763,New Staff-11,,,,1546,CS23334,Fundamentals of Data Science,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23334
