id,student_count,academic_year,semester,requires_special_scheduling,is_assistant,teacher_id,staff_code,first_name,last_name,teacher_email,course_id,course_code,course_name,course_type,lecture_hours,practical_hours,tutorial_hours,credits,teacher_dept,course_dept,instance_number
279,70,2,3,0,0,219,CS308,,,,1546,CS23334,Fundamentals of Data Science,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
280,70,3,5,0,0,219,CS308,,,,1556,CS23532,Computer Networks,LoT,3,2,0,5.0,Computer Science & Engineering,Computer Science & Engineering,1
216,70,2,3,0,0,220,CS282,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
217,70,2,3,0,0,220,CS282,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,2
253,70,3,5,0,0,222,CS255,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,Computer Science & Engineering,1
254,70,3,5,0,0,222,CS255,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,Computer Science & Engineering,2
277,70,3,5,0,0,223,CS272,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,Computer Science & Engineering,1
278,70,3,5,0,0,223,CS272,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,Computer Science & Engineering,2
219,70,2,3,0,0,224,CS291,,,,1544,CS23332,Database Management Systems,LoT,3,4,0,5.0,Computer Science & Engineering,Computer Science & Engineering,1
289,70,3,5,0,0,229,CS238,,,,1555,CS23531,Web Programming,LoT,1,4,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1
283,70,3,5,0,0,231,CS298,,,,1868,CS23533,Foundations of Artificial Intelligence,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
284,70,2,3,0,0,231,CS298,,,,1545,CS23333,Object Oriented Programming Using JAVA,LoT,1,6,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
281,70,3,5,0,0,234,IT210,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,Computer Science & Engineering,1
282,70,3,5,0,0,234,IT210,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,Computer Science & Engineering,2
221,70,2,3,0,0,235,CS321,,,,1544,CS23332,Database Management Systems,LoT,3,4,0,5.0,Computer Science & Engineering,Computer Science & Engineering,1
211,70,2,3,0,0,236,CS314,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1
271,70,2,3,0,0,236,CS314,,,,1545,CS23333,Object Oriented Programming Using JAVA,LoT,1,6,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
96,64,2,3,0,0,238,CS315,,,,1526,CR23331,Cryptography,LoT,3,2,0,4.0,Computer Science & Engineering (Cyber Security),Computer Science & Engineering (Cyber Security),1
110,70,2,3,0,0,239,CS301,,,,1546,CS23334,Fundamentals of Data Science,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
249,70,3,5,0,0,240,CS305,,,,1554,CS23512,Fundamentals of Mobile Computing,T,3,0,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1
286,70,3,5,0,0,243,CS322,,,,1554,CS23512,Fundamentals of Mobile Computing,T,3,0,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1
287,70,2,3,0,0,243,CS322,,,,1545,CS23333,Object Oriented Programming Using JAVA,LoT,1,6,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
267,70,3,5,0,0,244,CS320,,,,1555,CS23531,Web Programming,LoT,1,4,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1
255,70,3,5,0,0,245,CS319,,,,1556,CS23532,Computer Networks,LoT,3,2,0,5.0,Computer Science & Engineering,Computer Science & Engineering,1
256,70,3,5,0,0,245,CS319,,,,1554,CS23512,Fundamentals of Mobile Computing,T,3,0,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1
111,70,3,5,0,0,247,EC101,,,,1579,EC23512,Modern Digital Communication,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
124,70,3,5,0,0,247,EC101,,,,1899,EC23B11,Information theory and coding,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
294,70,2,3,0,0,248,CS333,,,,1546,CS23334,Fundamentals of Data Science,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
112,70,3,5,0,0,249,EC47,,,,1579,EC23512,Modern Digital Communication,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
144,70,4,7,0,0,249,EC47,,,,1808,EC19P74,Wireless Networks,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
263,70,2,3,0,0,250,CS313,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1
266,70,2,3,0,0,250,CS313,,,,1546,CS23334,Fundamentals of Data Science,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
123,70,3,5,0,0,251,EC34,,,,1899,EC23B11,Information theory and coding,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
145,70,4,7,0,0,251,EC34,,,,1810,EC19P76,Multimedia Compression and Networking,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
134,70,4,7,0,0,252,EC114,,,,1805,EC19701,RF and Microwave Engineering,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
154,70,2,3,0,0,252,EC114,,,,1569,EC23312,Electromagnetic Fields,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
212,70,1,1,0,0,253,CS326,,,,378,GE23131,Programming using C,LoT,1,6,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
172,70,1,1,0,0,254,EC31,,,,1845,EC23131,Electron Devices,LoT,3,2,0,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
115,70,3,5,0,0,256,EC134,,,,1582,EC23531,Digital Signal Processing,LoT,2,2,1,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
119,70,3,5,0,0,256,EC134,,,,1578,EC23511,Control System Engineering,T,2,0,1,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
129,70,3,5,0,0,259,EC67,,,,1900,EC23E11,Introduction to MEMS,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
150,70,2,3,0,0,259,EC67,,,,1568,EC23311,Analog Circuits –I,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
118,70,3,5,0,0,260,EC04,,,,1578,EC23511,Control System Engineering,T,2,0,1,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
128,70,3,5,0,0,260,EC04,,,,1897,EC23A11,Medical electronics,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
120,70,3,5,0,0,262,EC130,,,,1578,EC23511,Control System Engineering,T,2,0,1,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
139,70,4,7,0,0,262,EC130,,,,1807,EC19703,Embedded Systems,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
173,70,1,1,0,0,263,EC147,,,,1845,EC23131,Electron Devices,LoT,3,2,0,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
619,70,2,3,0,0,263,EC147,,,,1571,EC23314,Analog and Digital Communication,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
146,70,4,7,0,0,264,EC162,,,,1810,EC19P76,Multimedia Compression and Networking,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
610,70,2,3,0,0,264,EC162,,,,2046,CS23336,Introduction to Python Programming,LoT,1,4,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
153,70,2,3,0,0,265,EC160,,,,1569,EC23312,Electromagnetic Fields,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
174,70,1,1,0,0,265,EC160,,,,1845,EC23131,Electron Devices,LoT,3,2,0,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
584,70,4,7,0,0,265,EC160,,,,1813,EC19712,Advanced Communication Systems Laboratory,L,0,4,0,2.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
143,70,4,7,0,0,266,EC173,,,,1808,EC19P74,Wireless Networks,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
131,70,4,7,0,0,267,EC121,,,,1805,EC19701,RF and Microwave Engineering,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
582,70,4,7,0,0,267,EC121,,,,1813,EC19712,Advanced Communication Systems Laboratory,L,0,4,0,2.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
295,70,3,5,0,0,268,CS334,,,,1555,CS23531,Web Programming,LoT,1,4,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1
296,70,3,5,0,0,268,CS334,,,,1555,CS23531,Web Programming,LoT,1,4,0,3.0,Computer Science & Engineering,Computer Science & Engineering,2
137,70,4,7,0,0,269,EC172,,,,1589,EC23731,Optical Communication and Networks,LoT,2,2,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
127,70,3,5,0,0,270,EC185,,,,1897,EC23A11,Medical electronics,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
612,70,2,3,0,0,270,EC185,,,,2046,CS23336,Introduction to Python Programming,LoT,1,4,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
135,70,4,7,0,0,271,EC190,,,,1589,EC23731,Optical Communication and Networks,LoT,2,2,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
171,70,2,3,0,0,271,EC190,,,,1573,EC23331,Microprocessors and Microcontrollers,LoT,3,2,0,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
72,70,3,5,0,0,272,EC143,,,,1582,EC23531,Digital Signal Processing,LoT,2,2,1,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
607,70,2,3,0,0,272,EC143,,,,2046,CS23336,Introduction to Python Programming,LoT,1,4,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
148,70,2,3,0,0,273,EE98,,,,1568,EC23311,Analog Circuits –I,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
141,70,4,7,0,0,274,EC135,,,,1807,EC19703,Embedded Systems,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
170,70,2,3,0,0,274,EC135,,,,1573,EC23331,Microprocessors and Microcontrollers,LoT,3,2,0,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
156,70,2,3,0,0,276,EC149,,,,1569,EC23312,Electromagnetic Fields,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
163,70,2,3,0,0,276,EC149,,,,1570,EC23313,Digital Principles and System Design,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
587,70,2,3,0,0,276,EC149,,,,1572,EC23321,Analog and Digital Circuits Laboratory,L,0,4,0,2.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
116,70,3,5,0,0,277,EC167,,,,1582,EC23531,Digital Signal Processing,LoT,2,2,1,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
164,70,2,3,0,0,277,EC167,,,,1570,EC23313,Digital Principles and System Design,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
589,70,2,3,0,0,277,EC167,,,,1572,EC23321,Analog and Digital Circuits Laboratory,L,0,4,0,2.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
126,70,3,5,0,0,279,EC197,,,,1899,EC23B11,Information theory and coding,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
614,70,2,3,0,0,279,EC197,,,,2046,CS23336,Introduction to Python Programming,LoT,1,4,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
113,70,3,5,0,0,281,EC192,,,,1579,EC23512,Modern Digital Communication,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
117,70,3,5,0,0,281,EC192,,,,1582,EC23531,Digital Signal Processing,LoT,2,2,1,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
149,70,2,3,0,0,282,EC163,,,,1568,EC23311,Analog Circuits –I,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
588,70,2,3,0,0,282,EC163,,,,1572,EC23321,Analog and Digital Circuits Laboratory,L,0,4,0,2.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
620,70,2,3,0,0,282,EC163,,,,1571,EC23314,Analog and Digital Communication,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
125,70,3,5,0,0,283,EC204,,,,1899,EC23B11,Information theory and coding,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
167,70,2,3,0,0,283,EC204,,,,1573,EC23331,Microprocessors and Microcontrollers,LoT,3,2,0,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
121,70,3,5,0,0,284,EC215,,,,1578,EC23511,Control System Engineering,T,2,0,1,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
160,70,2,3,0,0,284,EC215,,,,1570,EC23313,Digital Principles and System Design,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
176,70,1,1,0,0,285,EC206,,,,1845,EC23131,Electron Devices,LoT,3,2,0,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
138,70,4,7,0,0,286,EC198,,,,1589,EC23731,Optical Communication and Networks,LoT,2,2,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
166,70,2,3,0,0,287,EC205,,,,1573,EC23331,Microprocessors and Microcontrollers,LoT,3,2,0,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
618,70,2,3,0,0,287,EC205,,,,1571,EC23314,Analog and Digital Communication,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
168,70,2,3,0,0,288,EC186,,,,1573,EC23331,Microprocessors and Microcontrollers,LoT,3,2,0,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
609,70,2,3,0,0,288,EC186,,,,2046,CS23336,Introduction to Python Programming,LoT,1,4,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
140,70,4,7,0,0,289,EC210,,,,1807,EC19703,Embedded Systems,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
178,70,1,1,0,0,289,EC210,,,,1845,EC23131,Electron Devices,LoT,3,2,0,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
133,70,4,7,0,0,290,EC212,,,,1805,EC19701,RF and Microwave Engineering,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
179,70,1,1,0,0,290,EC212,,,,1845,EC23131,Electron Devices,LoT,3,2,0,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
586,70,4,7,0,0,290,EC212,,,,1813,EC19712,Advanced Communication Systems Laboratory,L,0,4,0,2.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
157,70,2,3,0,0,291,EC201,,,,1569,EC23312,Electromagnetic Fields,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
175,70,1,1,0,0,291,EC201,,,,1845,EC23131,Electron Devices,LoT,3,2,0,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
132,70,4,7,0,0,292,EC175,,,,1805,EC19701,RF and Microwave Engineering,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
142,70,4,7,0,0,292,EC175,,,,1807,EC19703,Embedded Systems,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
585,70,4,7,0,0,292,EC175,,,,1813,EC19712,Advanced Communication Systems Laboratory,L,0,4,0,2.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
165,70,2,3,0,0,293,EC177,,,,1570,EC23313,Digital Principles and System Design,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
591,70,2,3,0,0,293,EC177,,,,1572,EC23321,Analog and Digital Circuits Laboratory,L,0,4,0,2.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
621,70,2,3,0,0,293,EC177,,,,1571,EC23314,Analog and Digital Communication,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
637,69,2,3,0,0,294,EE03,,,,1595,EE23311,Electromagnetic Theory,T,3,0,0,3.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,1
653,10,2,3,0,0,294,EE03,,,,2036,ET23311,Introduction to Machine Learning,T,3,0,0,3.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,1
155,70,2,3,0,0,296,EC200,,,,1569,EC23312,Electromagnetic Fields,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
622,70,2,3,0,0,296,EC200,,,,1571,EC23314,Analog and Digital Communication,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
147,70,2,3,0,0,297,EC207,,,,1568,EC23311,Analog Circuits –I,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
177,70,1,1,0,0,297,EC207,,,,1845,EC23131,Electron Devices,LoT,3,2,0,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
593,70,2,3,0,0,297,EC207,,,,1572,EC23321,Analog and Digital Circuits Laboratory,L,0,4,0,2.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
632,68,3,5,0,0,298,EE43,,,,1608,EE23513,Control Systems,T,3,0,0,3.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,1
753,64,4,7,0,0,298,EE43,,,,2023,EE19741,Renewable Energy Systems,LoT,3,2,0,4.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,1
755,32,4,7,0,0,298,EE43,,,,2023,EE19741,Renewable Energy Systems,LoT,3,2,0,4.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,2
159,70,2,3,0,0,299,EC211,,,,1570,EC23313,Digital Principles and System Design,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
169,70,2,3,0,0,299,EC211,,,,1573,EC23331,Microprocessors and Microcontrollers,LoT,3,2,0,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
639,32,3,5,0,0,300,EE40,,,,1610,GE23627,Design Thinking and Innovation,L,0,4,0,2.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,1
671,69,2,3,0,0,300,EE40,,,,1599,EE23315,Power Plant Engineering,T,3,0,0,3.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,1
756,32,4,7,0,0,300,EE40,,,,2023,EE19741,Renewable Energy Systems,LoT,3,2,0,4.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,1
760,50,4,7,0,0,300,EE40,,,,2026,EE19P73,High Voltage Engineering,T,3,0,0,3.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,1
136,70,4,7,0,0,301,EC179,,,,1589,EC23731,Optical Communication and Networks,LoT,2,2,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
611,70,2,3,0,0,301,EC179,,,,2046,CS23336,Introduction to Python Programming,LoT,1,4,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
114,70,3,5,0,0,302,EC217,,,,1579,EC23512,Modern Digital Communication,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
158,70,2,3,0,0,302,EC217,,,,1569,EC23312,Electromagnetic Fields,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
627,34,3,5,0,0,303,EE48,,,,1609,EE23521,Control and Instrumentation Laboratory,L,0,2,0,1.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,1
628,34,3,5,0,0,303,EE48,,,,1609,EE23521,Control and Instrumentation Laboratory,L,0,2,0,1.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,2
636,10,1,1,0,0,303,EE48,,,,2028,ET23111,Design of Embedded Systems,T,3,0,1,4.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,1
652,64,4,7,0,0,303,EE48,,,,2022,EE19701,Hybrid Electric Vehicles,T,3,0,0,3.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,1
151,70,2,3,0,0,304,EC209,,,,1568,EC23311,Analog Circuits –I,T,3,0,0,3.0,Electronics & Communication Engineering,Electronics & Communication Engineering,1
642,32,3,5,0,0,306,EE23,,,,1610,GE23627,Design Thinking and Innovation,L,0,4,0,2.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,1
623,64,4,7,0,0,307,EE77,,,,2024,EE19742,Power System Operation and Control,LoT,2,2,1,4.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,1
